file_name_id	Major.clade
alloascoidea_hylecoeti.max.cds	Alloascoideaceae
ambrosiozyma_kashinagacola.max.cds	Pichiaceae
ambrosiozyma_monospora.max.cds	Pichiaceae
arxula_adeninivorans.max.cds	Dipodascaceae/Trichomonascaceae
ascoidea_asiatica.max.cds	CUG-Ser2
ascoidea_rubescens.max.cds	CUG-Ser2
ashbya_aceri.max.cds	Saccharomycetaceae
babjeviella_inositovora.max.cds	CUG-Ser1
brettanomyces_anomalus.max.cds	Pichiaceae
candida_albicans.max.cds	CUG-Ser1
candida_apicola.max.cds	Dipodascaceae/Trichomonascaceae
candida_arabinofermentans.max.cds	Pichiaceae
candida_auris.max.cds	CUG-Ser1
candida_boidinii_JCM9604.max.cds	Pichiaceae
candida_carpophila.max.cds	CUG-Ser1
candida_dubliniensis.max.cds	CUG-Ser1
candida_glabrata.max.cds	Saccharomycetaceae
candida_homilentoma.max.cds	CUG-Ser1
candida_infanticola.max.cds	Dipodascaceae/Trichomonascaceae
candida_intermedia.max.cds	CUG-Ser1
candida_orthopsilosis.max.cds	CUG-Ser1
candida_parapsilosis.max.cds	CUG-Ser1
candida_sojae.max.cds	CUG-Ser1
candida_sorboxylosa.max.cds	Pichiaceae
candida_succiphila.max.cds	Pichiaceae
candida_tanzawaensis.max.cds	CUG-Ser1
candida_tenuis.max.cds	CUG-Ser1
candida_tropicalis.max.cds	CUG-Ser1
candida_versatilis.max.cds	Dipodascaceae/Trichomonascaceae
clavispora_lusitaniae.max.cds	CUG-Ser1
cyberlindnera_fabianii_JCM3601.max.cds	Phaffomycetaceae
cyberlindnera_jadinii.max.cds	Phaffomycetaceae
debaryomyces_hansenii.max.cds	CUG-Ser1
dekkera_bruxellensis.max.cds	Pichiaceae
eremothecium_coryli.max.cds	Saccharomycetaceae
eremothecium_cymbalariae.max.cds	Saccharomycetaceae
eremothecium_gossypii.max.cds	Saccharomycetaceae
eremothecium_sinecaudum.max.cds	Saccharomycetaceae
geotrichum_candidum.max.cds	Dipodascaceae/Trichomonascaceae
hanseniaspora_uvarum.max.cds	Saccharomycodaceae
hanseniaspora_valbyensis.max.cds	Saccharomycodaceae
hanseniaspora_vinae.max.cds	Saccharomycodaceae
hyphopichia_burtonii.max.cds	CUG-Ser1
kazachstania_africana.max.cds	Saccharomycetaceae
kazachstania_naganishii.max.cds	Saccharomycetaceae
kluyveromyces_lactis.max.cds	Saccharomycetaceae
kluyveromyces_marxianus.max.cds	Saccharomycetaceae
komagataella_pastoris.max.cds	Pichiaceae
kuraishia_capsulata.max.cds	Pichiaceae
lachancea_cidri.max.cds	Saccharomycetaceae
lachancea_dasiensis.max.cds	Saccharomycetaceae
lachancea_fantastica.max.cds	Saccharomycetaceae
lachancea_fermentati.max.cds	Saccharomycetaceae
lachancea_kluyveri.max.cds	Saccharomycetaceae
lachancea_lanzarotensis.max.cds	Saccharomycetaceae
lachancea_meyersii.max.cds	Saccharomycetaceae
lachancea_mirantina.max.cds	Saccharomycetaceae
lachancea_nothofagi.max.cds	Saccharomycetaceae
lachancea_quebecensis.max.cds	Saccharomycetaceae
