target_id	length	eff_length	est_counts	tpm	corrected_counts	rpk	tpm_corrected
genemark-YALI0A-processed-gene-0.54-mRNA-1	2616	2253.44	23480	509.056	23480	10.419625106503833	509.05455927103316
genemark-YALI0A-processed-gene-0.55-mRNA-1	1833	1676.07	18086	527.186	18086	10.790718764729396	527.1844743788594
genemark-YALI0A-processed-gene-0.56-mRNA-1	1092	889.642	103	5.65633	103	0.11577690801468456	5.656322783282328
snap_masked-YALI0A-processed-gene-0.6-mRNA-1	2556	2221.23	763	16.782	763	0.3435033742566056	16.78198178945631
snap_masked-YALI0A-processed-gene-0.17-mRNA-1	708	426.915	5	0.572191	5	0.011711933288827987	0.5721907436798891
augustus_masked-YALI0A-processed-gene-0.33-mRNA-1	1020	758.293	242	15.5916	242	0.3191378530462499	15.591595423885009
genemark-YALI0A-processed-gene-0.68-mRNA-1	3240	3102.54	8035	126.526	8035	2.5898135076421256	126.52627712143165
genemark-YALI0A-processed-gene-0.59-mRNA-1	1104	835.131	2836	165.907	2836	3.395874419701819	165.90667498987614
augustus_masked-YALI0A-processed-gene-0.43-mRNA-1	648	427.083	235	26.8824	235	0.5502443318980151	26.88238617058205
augustus_masked-YALI0A-processed-gene-0.35-mRNA-1	2526	2378.32	22888	470.165	22888	9.623599851996367	470.16445708789655
snap_masked-YALI0A-processed-gene-0.20-mRNA-1	792	543.709	70	6.28991	70	0.1287453398785012	6.289900220032036
snap_masked-YALI0A-processed-gene-0.21-mRNA-1	1020	804.824	377	22.8851	377	0.4684253948689403	22.885092361675014
genemark-YALI0A-processed-gene-0.72-mRNA-1	1515	1363.02	2182	78.2102	2182	1.6008569206614724	78.2104447975428
genemark-YALI0A-processed-gene-0.73-mRNA-1	1617	1387.79	216	7.60401	216	0.15564314485621022	7.604002226421803
snap_masked-YALI0A-processed-gene-0.10-mRNA-1	522	298.29	1056	172.957	1056	3.5401790204163732	172.95672853466994
genemark-YALI0A-processed-gene-0.62-mRNA-1	186	41.8917	59	68.8076	59	1.408393548125285	68.80757700903946
genemark-YALI0A-processed-gene-0.63-mRNA-1	2823	2564.2	1439	27.4171	1439	0.5611886748303565	27.417076009322656
snap_masked-YALI0A-processed-gene-0.24-mRNA-1	1587	1263.28	4	0.154694	4	0.0031663605851434363	0.15469369345709574
snap_masked-YALI0A-processed-gene-0.13-mRNA-1	1593	1262.86	47	1.81826	47	0.03721711036852858	1.8182554096084593
snap_masked-YALI0A-processed-gene-0.25-mRNA-1	1401	1132.85	30	1.29378	30	0.026481881979079316	1.2937819376162771
genemark-YALI0A-processed-gene-0.76-mRNA-1	1287	1131.16	2050	88.5409	2050	1.8122988790268395	88.54051827205784
genemark-YALI0A-processed-gene-0.77-mRNA-1	3567	3226.67	1220	18.4722	1220	0.37809878295580274	18.472153014251962
genemark-YALI0A-processed-gene-0.65-mRNA-1	669	442.398	339	37.4368	339	0.7662783285638723	37.43680533981431
snap_masked-YALI0A-processed-gene-0.28-mRNA-1	678	492.97	565	55.9938	565	1.1461143680142807	55.993832649462
snap_masked-YALI0A-processed-gene-0.15-mRNA-1	273	86.2395	2.31542e-4	1.31171e-4	0	0	0
augustus_masked-YALI0A-processed-gene-0.53-mRNA-1	822	650.938	64.9998	4.87848	65	0.09985590025470936	4.878496181503151
snap_masked-YALI0A-processed-gene-0.16-mRNA-1	822	598.116	25	2.04205	25	0.041797912110694245	2.0420521381981076
genemark-YALI0A-processed-gene-1.34-mRNA-1	2988	2763.51	755	13.3474	755	0.2732032813342452	13.34744528228705
genemark-YALI0A-processed-gene-1.35-mRNA-1	591	372.033	323	42.4164	323	0.8682025519241572	42.41635019592684
genemark-YALI0A-processed-gene-1.48-mRNA-1	3138	2985.98	3940	64.4647	3940	1.3194997957119605	64.46464053155837
snap_masked-YALI0A-processed-gene-1.3-mRNA-1	534	297.29	45	7.39512	45	0.15136735174408825	7.39510680494769
augustus_masked-YALI0A-processed-gene-1.68-mRNA-1	1407	1165.96	352	14.7494	352	0.3018971491303304	14.749294588323982
genemark-YALI0A-processed-gene-1.49-mRNA-1	1041	860.709	1901	107.904	1901	2.2086442688527717	107.90411587510481
augustus_masked-YALI0A-processed-gene-1.81-mRNA-1	1452	1186.59	39	1.60575	39	0.032867291987965515	1.605743456827699
genemark-YALI0A-processed-gene-1.51-mRNA-1	1020	841.077	3578	207.834	3578	4.254069484720186	207.83410578763215
genemark-YALI0A-processed-gene-1.38-mRNA-1	2256	2118.04	2294	52.9141	2294	1.0830768068591716	52.9141097627619
snap_masked-YALI0A-processed-gene-1.19-mRNA-1	303	106.851	25	11.4308	25	0.23397066943687939	11.430721815336303
augustus_masked-YALI0A-processed-gene-1.83-mRNA-1	450	229.367	164	34.9321	164	0.7150113137460925	34.932136758512236
genemark-YALI0A-processed-gene-1.39-mRNA-1	1446	1231.78	922	36.5687	922	0.7485102859276819	36.5687411800367
genemark-YALI0A-processed-gene-1.40-mRNA-1	1080	859.966	448	25.4512	448	0.5209508282885602	25.451241439654297
genemark-YALI0A-processed-gene-1.41-mRNA-1	3234	3137.31	4760	74.1246	4760	1.5172233537648496	74.12449658907508
genemark-YALI0A-processed-gene-1.42-mRNA-1	1113	919.501	753	40.0088	753	0.8189224372784805	40.00875234232246
