target_id	length	eff_length	est_counts	tpm	corrected_counts	rpk	tpm_corrected
snap_masked-gi|1002316309|dbj|BCKW01000028.1|-processed-gene-0.1-mRNA-1	204	62.0564	89	31.2934	89	1.4341792305064427	31.293434785638837
augustus_masked-gi|1002316310|dbj|BCKW01000027.1|-processed-gene-0.0-mRNA-1	3117	3564.97	26252.6	160.682	26253	7.3641573421375215	160.68408510977156
augustus_masked-gi|1002316311|dbj|BCKW01000026.1|-processed-gene-0.3-mRNA-1	4479	4503.04	43363.7	210.121	43364	9.629938885730528	210.122875928053
augustus_masked-gi|1002316312|dbj|BCKW01000025.1|-processed-gene-0.1-mRNA-1	4395	3611.97	207544	1253.76	207544	57.46005642350297	1253.764167141828
snap_masked-gi|1002316313|dbj|BCKW01000024.1|-processed-gene-0.6-mRNA-1	273	116.466	1104	206.834	1104	9.479161300293649	206.8329464432013
snap_masked-gi|1002316313|dbj|BCKW01000024.1|-processed-gene-0.5-mRNA-1	270	113.922	0	0	0	0	0
augustus_masked-gi|1002316314|dbj|BCKW01000023.1|-processed-gene-0.0-mRNA-1	4548	3816.79	40926.6	233.969	40927	10.722884937342636	233.97068745874114
snap_masked-gi|1002316315|dbj|BCKW01000022.1|-processed-gene-0.0-mRNA-1	645	426.79	1498.8	76.6268	1499	3.512265985613533	76.636771912951545
augustus_masked-gi|1002316315|dbj|BCKW01000022.1|-processed-gene-0.2-mRNA-1	1635	1329.78	681	11.1743	681	0.5121147859044354	11.1742174998607
snap_masked-gi|1002316316|dbj|BCKW01000021.1|-processed-gene-0.2-mRNA-1	4782	5183.21	452	1.90279	452	0.0872046473131515	1.9027837564870398
augustus_masked-gi|1002316317|dbj|BCKW01000020.1|-processed-gene-0.9-mRNA-1	1632	1454.41	420	6.30104	420	0.2887768923480999	6.301040104383324
augustus_masked-gi|1002316317|dbj|BCKW01000020.1|-processed-gene-0.8-mRNA-1	1449	1201.55	22	0.399513	22	0.0183096833257043	0.3995127449281886
augustus_masked-gi|1002316317|dbj|BCKW01000020.1|-processed-gene-0.10-mRNA-1	1674	1600.19	75	1.02268	75	0.046869434254682256	1.022679420459016
snap_masked-gi|1002316318|dbj|BCKW01000019.1|-processed-gene-0.3-mRNA-1	384	213.675	293.691	29.9908	294	1.3759213759213758	30.022262860658966
augustus_masked-gi|1002316318|dbj|BCKW01000019.1|-processed-gene-0.10-mRNA-1	4254	4315.99	4147.01	20.9655	4147	0.9608455997349392	20.965412463653916
augustus_masked-gi|1002316318|dbj|BCKW01000019.1|-processed-gene-0.11-mRNA-1	1545	1523.63	90	1.28888	90	0.059069459120652645	1.2888809344717385
snap_masked-gi|1002316318|dbj|BCKW01000019.1|-processed-gene-0.4-mRNA-1	468	344.729	31	1.96216	31	0.08992570976042051	1.9621566636035337
snap_masked-gi|1002316318|dbj|BCKW01000019.1|-processed-gene-0.8-mRNA-1	396	227.875	8	0.766024	8	0.03510696653867252	0.7660252948382227
augustus_masked-gi|1002316319|dbj|BCKW01000018.1|-processed-gene-0.2-mRNA-1	3669	3762.47	1541.28	8.93839	1541	0.4095713719976505	8.936745664031928
snap_masked-gi|1002316319|dbj|BCKW01000018.1|-processed-gene-0.8-mRNA-1	471	309.541	2.59339	0.18281	3	0.009691769426344168	0.2114720029752844
genemark-gi|1002316319|dbj|BCKW01000018.1|-processed-gene-0.11-mRNA-1	1194	1122.06	121.128	2.35547	121	0.10783737055059445	2.3529846556124965
snap_masked-gi|1002316319|dbj|BCKW01000018.1|-processed-gene-0.9-mRNA-1	243	91.528	0	0	0	0	0
augustus_masked-gi|1002316319|dbj|BCKW01000018.1|-processed-gene-0.1-mRNA-1	1026	921.058	72.6822	1.72183	73	0.07925668090391702	1.7293611024593432
augustus_masked-gi|1002316319|dbj|BCKW01000018.1|-processed-gene-0.4-mRNA-1	903	765.39	36.3952	1.03756	36	0.04703484498099009	1.0262886414451065
snap_masked-gi|1002316319|dbj|BCKW01000018.1|-processed-gene-0.10-mRNA-1	282	124.308	1.76	0.308932	2	0.016089069086462657	0.35105949347841653
augustus_masked-gi|1002316320|dbj|BCKW01000017.1|-processed-gene-0.19-mRNA-1	3153	3459.25	1.01743	0.00641763	1	2.890800028908e-4	0.006307653901180169
snap_masked-gi|1002316320|dbj|BCKW01000017.1|-processed-gene-0.8-mRNA-1	1074	1085.95	42.545	0.854851	43	0.039596666513191214	0.863989433748582
augustus_masked-gi|1002316320|dbj|BCKW01000017.1|-processed-gene-0.16-mRNA-1	1038	1041.47	0.455005	0.00953275	0	0	0
augustus_masked-gi|1002316320|dbj|BCKW01000017.1|-processed-gene-0.20-mRNA-1	1188	1111.04	18	0.353502	18	0.016201036866359448	0.3535026026406205
augustus_masked-gi|1002316320|dbj|BCKW01000017.1|-processed-gene-0.21-mRNA-1	471	297.922	10.495	0.768654	10	0.033565832667610984	0.7323981363463424
genemark-gi|1002316320|dbj|BCKW01000017.1|-processed-gene-0.2-mRNA-1	1194	1124.21	31.872	0.618604	32	0.02846443280170075	0.6210868576556338
genemark-gi|1002316320|dbj|BCKW01000017.1|-processed-gene-0.3-mRNA-1	1026	935.64	154.318	3.5988	154	0.16459321961438161	3.5913831929794102
augustus_masked-gi|1002316320|dbj|BCKW01000017.1|-processed-gene-0.22-mRNA-1	903	762.194	8.60475	0.246333	9	0.011808017381401586	0.2576480080122876
snap_masked-gi|1002316320|dbj|BCKW01000017.1|-processed-gene-0.14-mRNA-1	282	124.308	790.24	138.711	790	6.355182289152749	138.6684999239745
snap_masked-gi|1002316321|dbj|BCKW01000016.1|-processed-gene-0.24-mRNA-1	201	59.9196	601	218.855	601	10.030107010060147	218.85444506225275
genemark-gi|1002316321|dbj|BCKW01000016.1|-processed-gene-0.11-mRNA-1	549	341.609	751	47.969	751	2.1984198308592573	47.96897496846039
genemark-gi|1002316321|dbj|BCKW01000016.1|-processed-gene-0.19-mRNA-1	3129	2748.93	8853.5	70.275	8854	3.2208895824920973	70.27901112880268
genemark-gi|1002316321|dbj|BCKW01000016.1|-processed-gene-0.12-mRNA-1	327	165.082	4261.5	563.265	4262	25.81747252880387	563.3308415886424
genemark-gi|1002316321|dbj|BCKW01000016.1|-processed-gene-0.13-mRNA-1	564	382.854	821.5	46.8193	822	2.1470325502672036	46.84771726244068
snap_masked-gi|1002316321|dbj|BCKW01000016.1|-processed-gene-0.28-mRNA-1	666	450.05	150	7.27245	150	0.33329630041106545	7.272442536715088
genemark-gi|1002316321|dbj|BCKW01000016.1|-processed-gene-0.20-mRNA-1	714	462.937	2161	101.855	2161	4.6680217826615715	101.85507649701331
genemark-gi|1002316321|dbj|BCKW01000016.1|-processed-gene-0.15-mRNA-1	1167	1014.58	4724.5	101.606	4724	4.656113859922332	101.59524857889375
genemark-gi|1002316321|dbj|BCKW01000016.1|-processed-gene-0.21-mRNA-1	1836	1592.96	3157	43.2434	3157	1.9818451185214945	43.24336850826432
genemark-gi|1002316321|dbj|BCKW01000016.1|-processed-gene-0.16-mRNA-1	1290	1104.63	1032	20.385	1032	0.9342494772005104	20.385091672236438
genemark-gi|1002316321|dbj|BCKW01000016.1|-processed-gene-0.17-mRNA-1	1272	953.659	455.5	10.4219	456	0.47815833542178077	10.433296179757985
snap_masked-gi|1002316321|dbj|BCKW01000016.1|-processed-gene-0.32-mRNA-1	339	176.24	283	35.0374	283	1.605764866091693	35.03739075928888
genemark-gi|1002316322|dbj|BCKW01000015.1|-processed-gene-0.7-mRNA-1	1068	1036.8	37	0.778673	37	0.03568672839506173	0.7786755546231939
maker-gi|1002316322|dbj|BCKW01000015.1|-augustus-gene-0.0-mRNA-1	4506	4878.36	3.59925	0.0160986	4	8.199476873375479e-4	0.017891054991970665
augustus_masked-gi|1002316322|dbj|BCKW01000015.1|-processed-gene-0.19-mRNA-1	1011	1002.73	230	5.00487	230	0.2293738095000648	5.004879582999636
augustus_masked-gi|1002316322|dbj|BCKW01000015.1|-processed-gene-0.26-mRNA-1	840	655.477	1	0.0332884	1	0.0015256065430213417	0.033288356048583705
augustus_masked-gi|1002316322|dbj|BCKW01000015.1|-processed-gene-0.27-mRNA-1	558	496.035	587.139	25.8273	587	1.1833842369994052	25.821150285251953
genemark-gi|1002316322|dbj|BCKW01000015.1|-processed-gene-0.3-mRNA-1	999	973.661	1523.61	34.1442	1524	1.565226500804695	34.15285369206534
augustus_masked-gi|1002316322|dbj|BCKW01000015.1|-processed-gene-0.28-mRNA-1	483	412.212	452.836	23.9701	453	1.09894908445169	23.978796217040866
augustus_masked-gi|1002316322|dbj|BCKW01000015.1|-processed-gene-0.21-mRNA-1	1794	1433.41	592.522	9.01955	593	0.4136988021570939	9.026805165508053
augustus_masked-gi|1002316322|dbj|BCKW01000015.1|-processed-gene-0.29-mRNA-1	1191	1102.27	1439.32	28.4916	1439	1.3054877661552977	28.48541898016742
augustus_masked-gi|1002316322|dbj|BCKW01000015.1|-processed-gene-0.22-mRNA-1	1632	1606.04	660.153	8.96886	660	0.41094866877537295	8.966797937818454
